MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3354,Action Auto Rental,,,"V, M"
3355,Sixt Car Rental,,,"V, M"
3357,Hertz,,,"V, M"
3359,Payless Car Rental,,,"V, M"
3360,Snappy Car Rental,,,"V, M"
3361,Airways,,,"V, M"
3362,Altra Auto Rental,,,"V, M"
3364,Agency Rent-A-Car,,,"V, M"
3366,Budget Rent-A-Car,,,"V, M"
3368,Holiday Rent-A-Car,,,"V, M"
3370,Rent-A-Wreck,,,"V, M"
3374,Accent Rent-A-Car,,,"V, M"
3376,Ajax Rent-A-Car,,,"V, M"
3380,Triangle Rent-A-Car,,,"V, M"
3381,Europcar,,,"V, M"
3385,Tropical Rent-A-Car,,,"V, M"
3386,Showcase Rental Cars,,,"V, M"
3387,Alamo Rent-A-Car,,,"V, M"
3388,Merchants Rent-A-Car,,,"V, M"
3389,Avis Rent-A-Car,,,"V, M"
3390,Dollar Rent-A-Car,,,"V, M"
3391,Europe By Car,,,"V, M"
3393,National Car Rental,,,"V, M"
3394,Kemwell Group,,,"V, M"
3395,Thrifty Car Rental,,,"V, M"
3396,Tilden Rent-A-Car,,,"V, M"
3398,Econo-Car Rent-A-Car,,,"V, M"
3400,Auto Host Rental Cars,,,"V, M"
3405,Enterprise Rent-A-Car,,,"V, M"
3409,General Rent-A-Car,,,"V, M"
3412,A1 Rent-A-Car,,,"V, M"
3414,Godfrey National,,,V
3420,Ansa International,,,"V, M"
3421,Allstate,,,"V, M"
3423,AVCAR,,,"V, M"
3425,Automate,,,"V, M"
3427,Avon Rent-A-Car,,,"V, M"
3428,Carey,,,"V, M"
3429,Insurance Rent-A-Car,,,"V, M"
3430,Major Rent-A-Car,,,"V, M"
3431,Replacement Rent-A-Car,,,"V, M"
3432,Reserve Rent-A-Car,,,"V, M"
3433,Ugly Duckling Rent-A-Car,,,"V, M"
3434,USA,,,"V, M"
3435,Value Rent-A-Car,,,"V, M"
3436,Autohansa,,,"V, M"
3437,Cite,,,V
3438,Interent,,,"V, M"
3439,Milleville,,,"V, M"
3441,Advantage Rent A Car,,,"V, M"
3501,Holiday Inns,,,"V, M"
3502,Best Western,,,"V, M"
3503,Sheraton,,,"V, M"
3504,Hilton,,,"V, M"
3505,Trusthouse Forte,,,"V, M"
3506,Golden Tulip,,,"V, M"
3507,Friendship Inns International,,,"V, M"
3508,Quality International,,,"V, M"
3509,Marriott,,,"V, M"
3510,Days Inns Of America,,,"V, M"
3511,Arabella Hotels,,,"V, M"
3512,Intercontinental,,,"V, M"
3513,Westin Hotels,,,"V, M"
3514,Amerisuites,,,"V, M"
3515,Rodeway Inns International,,,"V, M"
3516,La Quinta Motor Inns,,,"V, M"
3517,Americana Hotels Corporation,,,"V, M"
3518,Sol Hotels,,,"V, M"
3519,PLM/ETAP International,,,"V, M"
3520,Meridien,,,"V, M"
3521,Crest Hotels,,,"V, M"
3522,Tokyo Group,,,"V, M"
3523,Peninsula Hotels,,,"V, M"
3524,Welcomgroup,,,"V, M"
3525,Dunfey Hotels,,,"V, M"
3526,Prince Hotels,,,"V, M"
3527,Downtowner Passport,,,"V, M"
3528,Thunderbird/Red Lion,,,"V, M"
3529,CP (Canadian Pacific),,,"V, M"
3530,Renaissance Hotels,,,"V, M"
3531,Kauai Coconut Beach Resort,,,"V, M"
3532,Royal Kona Resort,,,"V, M"
3533,Park Inn by Radisson,,,"V, M"
3534,Southern Pacific Hotel,,,"V, M"
3535,Hilton International,,,"V, M"
3536,AMFAC Hotels,,,"V, M"
3537,Ana Hotels,,,"V, M"
3538,Concorde Hotels,,,"V, M"
3539,Summerfield Suites Hotel,,,"V, M"
3540,Iberotel,,,"V, M"
3541,Hotel Okura,,,"V, M"
3542,Royal Hotels,,,"V, M"
3543,Four Seasons,,,"V, M"
3544,Cigahotels,,,"V, M"
3545,Shangri-La International,,,"V, M"
3546,Hotel Sierra,,,"V, M"
3547,Breakers Resort,,,M
3548,Hotels Melia,,,"V, M"
3549,Auberge Des Governeurs,,,"V, M"
3550,Regal 8 Inns,,,"V, M"
3551,Mirage Hotel and Casino,,,"V, M"
3552,Coast Hotels,,,"V, M"
3553,Parks Inns International,,,"V, M"
3554,Pinehurst Resort,,,"V, M"
3555,Treasure Island Hotel and Casino,,,"V, M"
3556,Barton Creek Resort,,,"V, M"
3557,Manhattan East Suite Hotels,,,"V, M"
3558,Jolly Hotels,,,"V, M"
3559,Candlewood Suites,,,"V, M"
3560,Aladdin Resort and Casino,,,"V, M"
3561,Golden Nugget,,,"V, M"
3562,Comfort Hotel International,,,"V, M"
3563,Journeys End Motels,,,"V, M"
3564,Sams Town Hotel and Casino,,,"V, M"
3565,Relax Inns,,,"V, M"
3566,Garden Place Hotel,,,"V, M"
3567,Soho Grand Hotel,,,"V, M"
3568,Ladbroke Hotels,,,"V, M"
3569,Tribeca Grand Hotel,,,"V, M"
3570,Grand Met Forum Hotels,,,"V, M"
3571,Grand Wailea Resort,,,"V, M"
3572,Miyako Hotel/Kintetsu,,,"V, M"
3573,Sandman Hotels,,,"V, M"
3574,Venture Inn,,,"V, M"
3575,Vagabond Hotels,,,"V, M"
3576,La Quinta Resort,,,"V, M"
3577,Mandarin International,,,"V, M"
3578,Frankenmuth Bavarian,,,"V, M"
3579,Hotel Mercure,,,"V, M"
3580,Hotel Del Coronado,,,"V, M"
3581,Delta Hotels,,,"V, M"
3582,California Hotel and Casino,,,"V, M"
3583,Radisson BLU,,,"V, M"
3584,Princess Hotels International,,,"V, M"
3585,Hungar Hotels,,,"V, M"
3586,Sokos Hotel,,,"V, M"
3587,Doral Hotels,,,"V, M"
3588,Helmsley Hotels,,,"V, M"
3589,Doral Golf Resort,,,"V, M"
3590,Fairmont Hotels Corporation,,,"V, M"
3591,Sonesta International Hotels,,,"V, M"
3592,Omni International,,,"V, M"
3593,Cunard Hotels,,,"V, M"
3594,Arizona Biltmore,,,"V, M"
3595,Hospitality Inns,,,"V, M"
3596,Wynn Las Vegas,,,"V, M"
3597,Riverside Resort and Casino,,,"V, M"
3598,Regent Hotels,,,"V, M"
3599,Pannonia Hotels,,,"V, M"
3600,Saddlebrook Resort–Tampa,,,"V, M"
3601,Tradewinds Resort,,,"V, M"
3602,Hudson Hotel,,,"V, M"
3603,Noahs Hotel (Melbourne),,,"V, M"
3604,Hilton Garden Inn,,,"V, M"
3605,Jurys Doyle Hotel Group,,,M
3606,Jefferson Hotel,,,M
3607,Fontainebleau Resort,,,"V, M"
3608,Gaylord Opryland,,,"V, M"
3609,Gaylord Palms,,,"V, M"
3610,Gaylord Texan,,,M
3611,C MON INN,,,M
3612,Moevenpick,,,"V, M"
3613,Microtel Inn and Suites,,,"V, M"
3614,AmericInn,,,"V, M"
3615,Travelodge Motels,,,"V, M"
3616,Hermitage Hotels,,,M
3617,America’s Best Value Inn,,,"V, M"
3618,Great Wolf,,,"V, M"
3619,Aloft,,,"V, M"
3620,Binions Horseshoe Club,,,"V, M"
3621,Extended Stay,,,"V, M"
3622,Merlin Hotel (Perth),,,"V, M"
3623,Dorint Hotels,,,"V, M"
3624,Lady Luck Hotel and Casino,,,"V, M"
3625,Hotel Universal,,,"V, M"
